route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88254,341,4492_3686,Rossmore,12592,0,4492_7778195_5150005,4492_99
4486_88254,342,4492_3687,Rossmore,18440,0,4492_7778195_5150004,4492_100
4486_88254,340,4492_3688,Rossmore,5122,0,4492_7778195_5150015,4492_99
4486_88254,342,4492_3689,Rossmore,18452,0,4492_7778195_5150005,4492_99
4492_88176,340,4492_369,Sandyford B.D.,6812,0,4492_7778195_1011005,4492_10
4486_88254,341,4492_3690,Rossmore,12625,0,4492_7778195_5150007,4492_100
4486_88254,340,4492_3691,Rossmore,5177,0,4492_7778195_5150008,4492_101
4486_88254,342,4492_3692,Rossmore,18425,0,4492_7778195_5150006,4492_99
4486_88254,341,4492_3693,Rossmore,12640,0,4492_7778195_5150004,4492_100
4486_88254,340,4492_3694,Rossmore,5195,0,4492_7778195_5150013,4492_101
4486_88254,341,4492_3695,Rossmore,12594,0,4492_7778195_5150005,4492_99
4486_88254,340,4492_3696,Rossmore,5135,0,4492_7778195_5150011,4492_100
4486_88254,342,4492_3697,Rossmore,18442,0,4492_7778195_5150004,4492_101
4486_88254,340,4492_3698,Rossmore,5124,0,4492_7778195_5150015,4492_99
4486_88254,342,4492_3699,Rossmore,18454,0,4492_7778195_5150005,4492_100
4486_88252,340,4492_37,Shaw street,870,0,4492_7778195_9001010,4492_1
4492_88176,341,4492_370,Sandyford B.D.,14173,0,4492_7778195_1011001,4492_7
4486_88254,341,4492_3700,Rossmore,12627,0,4492_7778195_5150007,4492_101
4486_88254,342,4492_3701,Rossmore,18427,0,4492_7778195_5150006,4492_99
4486_88254,341,4492_3702,Rossmore,12642,0,4492_7778195_5150004,4492_100
4486_88254,340,4492_3703,Rossmore,5197,0,4492_7778195_5150013,4492_101
4486_88254,341,4492_3704,Rossmore,12596,0,4492_7778195_5150005,4492_99
4486_88254,340,4492_3705,Rossmore,5137,0,4492_7778195_5150011,4492_100
4486_88254,342,4492_3706,Rossmore,18444,0,4492_7778195_5150004,4492_101
4486_88254,340,4492_3707,Rossmore,5126,0,4492_7778195_5150015,4492_99
4486_88254,342,4492_3708,Rossmore,18456,0,4492_7778195_5150005,4492_100
4486_88254,341,4492_3709,Rossmore,12629,0,4492_7778195_5150007,4492_101
4492_88176,342,4492_371,Sandyford B.D.,19526,0,4492_7778195_1011004,4492_7
4486_88254,342,4492_3710,Rossmore,18429,0,4492_7778195_5150006,4492_99
4486_88254,341,4492_3711,Rossmore,12644,0,4492_7778195_5150004,4492_100
4486_88254,340,4492_3712,Rossmore,5199,0,4492_7778195_5150013,4492_101
4486_88254,340,4492_3713,Hawkins Street,5112,1,4492_7778195_5150001,4492_102
4486_88254,340,4492_3714,Hawkins Street,5147,1,4492_7778195_5150002,4492_102
4486_88254,340,4492_3715,Hawkins Street,5179,1,4492_7778195_5150004,4492_102
4486_88254,341,4492_3716,Hawkins Street,12612,1,4492_7778195_5150001,4492_104
4486_88254,340,4492_3717,Hawkins Street,5211,1,4492_7778195_5150005,4492_102
4486_88254,340,4492_3718,Hawkins Street,5151,1,4492_7778195_5150003,4492_103
4486_88254,341,4492_3719,Hawkins Street,12570,1,4492_7778195_5150002,4492_102
4492_88176,340,4492_372,Sandyford B.D.,6907,0,4492_7778195_1011007,4492_10
4486_88254,340,4492_3720,Hawkins Street,5117,1,4492_7778195_5150006,4492_103
4486_88254,341,4492_3721,Hawkins Street,12599,1,4492_7778195_5150003,4492_102
4486_88254,340,4492_3722,Hawkins Street,5161,1,4492_7778195_5150007,4492_103
4486_88254,340,4492_3723,Hawkins Street,5114,1,4492_7778195_5150001,4492_103
4486_88254,342,4492_3724,Hawkins Street,18405,1,4492_7778195_5150001,4492_102
4486_88254,340,4492_3725,Hawkins Street,5149,1,4492_7778195_5150002,4492_103
4486_88254,341,4492_3726,Hawkins Street,12614,1,4492_7778195_5150001,4492_102
